"","id_test","accepted_binomial","EUNIS_name","original_name","contributor_name","contributor_email","Cocontributors","collection_year","doi","collection_site","collection_country","iso_code","latitude","longitude","coordinate_accuracy","storage","substrate","experiment_length","scarification","stratification","other_treatments","water_potential","photoperiod","light_quality","T_day","T_night","seeds_sown","seeds_germinated"
"1",3124,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Nemes_calcareus","France","FR","43.7847",4.259389,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,123
"2",3127,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Montpellier_Red Mediterranean","France","FR","43.60758",3.449269,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,77
"3",3117,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Merindol_Red Mediterranean","France","FR","43.750425",5.210495,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,41
"4",3119,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Caumont_Red Mediterranean","France","FR","43.898319",4.932395,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,17
"5",3125,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Nemes_Red Mediterranean","France","FR","43.722868",4.339264,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,101
"6",3116,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Merindol_calcareus","France","FR","43.756456",5.199526,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,74
"7",3121,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Saint-Remy- de- Provence_Red Mediterranean","France","FR","43.798952",4.841659,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,31
"8",3120,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Saint-Remy- de- Provence_calcareus","France","FR","43.768047",4.831898,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,39
"9",3122,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Saint- Martin- de Crau_calcareus","France","FR","43.705354",4.797561,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,58
"10",3123,"Brachypodium retusum","Brachypodium retusum","Brachypodium retusum","Cruz-Tejada, Diana M.","diana.cruztejada@phd.unipi.it","Carta, Angelino","2016","10.1002/ajb2.1116","Saint- Martin- de Crau_Red Mediterranean","France","FR","43.567465",4.834645,100,"stored","soil","49","none","none","none",0,"12","white",20,15,160,56
