id_test,accepted_binomial,EUNIS_name,original_name,contributor_name,contributor_email,cocontributors,doi,collection_year,collection_site,collection_country,iso_code,latitude,longitude,coordinate_accuracy,storage,substrate,experiment_length,scarification,stratification,other_treatments,water_potential,photoperiod,light_quality,T_day,T_night,seeds_sown,seeds_germinated,changed
1,Achillea maritima,Achillea maritima,Achillea maritima,empty to fullfill the anonymised status of the file,empty to fullfill the anonymised status of the file,empty to fullfill the anonymised status of the file,10.1093/aob/mcx005,2014,nd,France,FR,43.61666667,5.866666667,5.00E+05,fresh_21°C;50%_3 weeks,agar,30,none,cold_3°C_84 days,none,0,12,white,14,4,100,2,
2,Achillea maritima,Achillea maritima,Achillea maritima,,,,10.1093/aob/mcx005,2014,nd,France,FR,43.61666667,5.866666667,5.00E+05,fresh_21°C;50%_3 weeks,agar,30,none,cold_ 3°C_ 84 days,none,0,12,white,22,12,100,1,
3,Achillea maritima,Achillea maritima,Achillea maritima,,,,10.1093/aob/mcx005,2014,nd,France,FR,43.61666667,5.866666667,5.00E+05,fresh_21°C;50%_3 weeks,agar,30,none,cold_ 3°C_ 84 days,none,0,12,white,30,20,100,1,
4,Achillea maritima,Achillea maritima,Achillea maritima,,,,10.1093/aob/mcx005,2014,nd,France,FR,43.61666667,5.866666667,5.00E+05,fresh_21°C;50%_3 weeks,agar,30,none,none,none,0,12,white,14,4,100,1,
5,Achillea maritima,Achillea maritima,Achillea maritima,,,,10.1093/aob/mcx005,2014,nd,France,FR,43.61666667,5.866666667,5.00E+05,fresh_21°C;50%_3 weeks,agar,30,none,none,none,0,12,white,22,12,100,1,
6,Achillea maritima,Achillea maritima,Achillea maritima,,,,10.1093/aob/mcx005,2014,nd,France,FR,43.61666667,5.866666667,5.00E+05,fresh_21°C;50%_3 weeks,agar,30,none,none,none,0,12,white,30,20,100,1,
4603,Achillea millefolium,Achillea millefolium,Achillea millefolium,,,,10.1093/aob/mcq222,2008,Northern Italy,Italy,IT,45.714022,7.339041,10000,banked_dry_15°C;15%RH_-20°C,agar,nd,none,none,survival test_45°C;60%RH_1 day,0,12,white,30,20,50,50,
4604,Achillea millefolium,Achillea millefolium,Achillea millefolium,,,,10.1093/aob/mcq222,2008,Northern Italy,Italy,IT,45.212209,9.043638,10000,banked_dry_15°C;15%RH_-20°C,agar,nd,none,none,survival test_45°C;60%RH_1 day,0,12,white,30,20,50,50,
473,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Humrit Al-Sahin,Jordan,JO,32.08333333,35.65,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,8,4,150,146,
474,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Humrit Al-Sahin,Jordan,JO,32.08333333,35.65,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,20,10,150,145,
475,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Humrit Al-Sahin,Jordan,JO,32.08333333,35.65,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,32,20,150,129,
