WCVP_id,accepted_binomial,EUNIS_name,species_type,Habitat level 1,Habitat level 3
3109998,Achillea maritima,Achillea maritima,Constant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
3109998,Achillea maritima,Achillea maritima,Diagnostic,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
3109998,Achillea maritima,Achillea maritima,Dominant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
3109998,Achillea maritima,Achillea maritima,Diagnostic,Coastal,Mediterranean and Black Sea coastal shingle beach
3109998,Achillea maritima,Achillea maritima,Constant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
3109998,Achillea maritima,Achillea maritima,Constant,Coastal,Mediterranean and Black Sea coastal shingle beach
2908230,Achillea millefolium,Achillea millefolium,Constant,Grasslands,Submediterranean moist meadow
2908230,Achillea millefolium,Achillea millefolium,Constant,Scrublands,Lowland to montane temperate and submediterranean Juniperus scrub
2908230,Achillea millefolium,Achillea millefolium,Constant,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
2908230,Achillea millefolium,Achillea millefolium,Constant,Scrublands,Temperate and submediterranean thorn scrub
539640,Achnatherum parviflorum,Stipa parviflora,Diagnostic,Scrublands,Mediterranean gypsum scrub
539640,Achnatherum parviflorum,Stipa parviflora,Constant,Scrublands,Mediterranean gypsum scrub
387679,Aegilops geniculata,Aegilops geniculata,Diagnostic,Grasslands,Mediterranean annual-rich dry grassland
387679,Aegilops geniculata,Aegilops geniculata,Constant,Grasslands,Mediterranean annual-rich dry grassland
387679,Aegilops neglecta,Aegilops geniculata,Diagnostic,Grasslands,Mediterranean annual-rich dry grassland
387679,Aegilops neglecta,Aegilops geniculata,Constant,Grasslands,Mediterranean annual-rich dry grassland
2624738,Aethionema saxatile,Aethionema saxatile,Constant,Grasslands,Dry steppic submediterranean pasture of the Amphi-Adriatic region
296631,Allium sphaerocephalon,Allium sphaerocephalon,Constant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
3110592,Anacyclus clavatus,Anacyclus clavatus,Diagnostic,Man-made,Mediterranean subnitrophilous annual grassland
3110592,Anacyclus clavatus,Anacyclus clavatus,Constant,Man-made,Mediterranean subnitrophilous annual grassland
2636165,Anagyris foetida,Anagyris foetida,Diagnostic,Scrublands,Thermomediterranean arid scrub
2636500,Anchusa crispa,Anchusa crispa,Diagnostic,Coastal,Mediterranean and Black Sea coastal shingle beach
3110928,Anthemis maritima,Anthemis maritima,Diagnostic,Coastal,Mediterranean and Black Sea coastal shingle beach
3110928,Anthemis maritima,Anthemis maritima,Constant,Coastal,Mediterranean and Black Sea coastal shingle beach
3110928,Anthemis maritima,Anthemis maritima,Diagnostic,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
3110928,Anthemis maritima,Anthemis maritima,Constant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Scrublands,Western Mediterranean mountain hedgehog-heath
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Grasslands,Iberian oromediterranean basiphilous dry grassland
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Grasslands,Dry steppic submediterranean pasture of the Amphi-Adriatic region
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Scrublands,Central Mediterranean mountain hedgehog-heath
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Forests,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest
2642105,Anthyllis vulneraria,Anthyllis vulneraria,Constant,Scrublands,Submediterranean pseudomaquis
2646651,Arbutus andrachne,Arbutus andrachne,Diagnostic,Forests,Mediterranean Cupressaceae forest
2646748,Arbutus unedo,Arbutus unedo,Dominant,Scrublands,Mediterranean maquis and arborescent matorral
2646748,Arbutus unedo,Arbutus unedo,Constant,Forests,Mediterranean evergreen Quercus forest
2646748,Arbutus unedo,Arbutus unedo,Diagnostic,Forests,Mediterranean evergreen Quercus forest
2646748,Arbutus unedo,Arbutus unedo,Constant,Forests,Mediterranean thermophilous deciduous forest
2646748,Arbutus unedo,Arbutus unedo,Diagnostic,Forests,Mediterranean thermophilous deciduous forest
2646748,Arbutus unedo,Arbutus unedo,Constant,Scrublands,Mediterranean maquis and arborescent matorral
2646748,Arbutus unedo,Arbutus unedo,Diagnostic,Scrublands,Mediterranean maquis and arborescent matorral
2646748,Arbutus unedo,Arbutus unedo,Dominant,Forests,Mediterranean evergreen Quercus forest
2646748,Arbutus unedo,Arbutus unedo,Dominant,Forests,Mediterranean thermophilous deciduous forest
2646748,Arbutus unedo,Arbutus unedo,Constant,Forests,Mediterranean lowland to submontane Pinus forest
2649479,Arenaria grandiflora,Arenaria grandiflora,Constant,Grasslands,Iberian oromediterranean basiphilous dry grassland
2649479,Arenaria grandiflora,Arenaria grandiflora,Diagnostic,Grasslands,Iberian oromediterranean basiphilous dry grassland
