WCVP_id;accepted_binomial;authority;EUNIS_name;original_name;family;order;APG_clade
2742910;Crithmum maritimum;L.;Crithmum maritimum;Crithmum maritimum;Apiaceae;Apiales;asterids
2757936;Daucus carota;L.;Daucus carota;Daucus carota;Apiaceae;Apiales;asterids
2783222;Echinophora spinosa;L.;Echinophora spinosa;Echinophora spinosa;Apiaceae;Apiales;asterids
2799418;Eryngium maritimum;L.;Eryngium maritimum;Eryngium maritimum;Apiaceae;Apiales;asterids
296631;Allium sphaerocephalon;L.;Allium sphaerocephalon;Allium sphaerocephalon;Amaryllidaceae;Asparagales;monocots
274949;Asparagus aphyllus;L.;Asparagus aphyllus;Asparagus aphyllus;Asparagaceae;Asparagales;monocots
275522;Asphodelus fistulosus;L.;Asphodelus fistulosus;Asphodelus fistulosus;Asphodelaceae;Asparagales;monocots
305015;Drimia maritima;(L.) Stearn;Drimia maritima;Urginea maritima;Asparagaceae;Asparagales;monocots
305015;Drimia maritima;(L.) Stearn;Drimia maritima;Drimia maritima;Asparagaceae;Asparagales;monocots
286099;Pancratium maritimum;L.;Pancratium maritimum;Pancratium maritimum;Amaryllidaceae;Asparagales;monocots
3109998;Achillea maritima;(L.) Ehrend. & Y.P.Guo;Achillea maritima;Achillea maritima;Asteraceae;Asterales;asterids
2908230;Achillea millefolium;L.;Achillea millefolium;Achillea millefolium;Asteraceae;Asterales;asterids
3110592;Anacyclus clavatus;(Desf.) Pers.;Anacyclus clavatus;Anacyclus clavatus;Asteraceae;Asterales;asterids
3110928;Anthemis maritima;L.;Anthemis maritima;Anthemis maritima;Asteraceae;Asterales;asterids
3198060;Artemisia glacialis;L.;Artemisia pedemontana;Artemisia glacialis;Asteraceae;Asterales;asterids
3040189;Atractylis cancellata;L.;Atractylis cancellata;Atractylis cancellata;Asteraceae;Asterales;asterids
2922692;Bellis perennis;L.;Bellis perennis;Bellis perennis;Asteraceae;Asterales;asterids
3086950;Calendula arvensis;L.;Calendula arvensis;Calendula arvensis;Asteraceae;Asterales;asterids
364698;Campanula barbata;L.;Campanula glomerata;Campanula barbata;Campanulaceae;Asterales;asterids
365918;Campanula scheuchzeri;Vill.;Campanula rotundifolia;Campanula scheuchzeri;Campanulaceae;Asterales;asterids
3049312;Centaurea scabiosa;L.;Centaurea scabiosa;Centaurea scabiosa;Asteraceae;Asterales;asterids
3050662;Centaurea sphaerocephala;L.;Centaurea sphaerocephala;Centaurea sphaerocephala;Asteraceae;Asterales;asterids
3047731;Centaurea stoebe;L.;Centaurea affinis;Centaurea maculosa;Asteraceae;Asterales;asterids
3113909;Dittrichia viscosa;(L.) Greuter;Dittrichia viscosa;Dittrichia viscosa;Asteraceae;Asterales;asterids
3043225;Galactites tomentosus;Moench;Galactites tomentosus;Galactites elegans;Asteraceae;Asterales;asterids
